Record ID,Associated company ID,Association label
51000001,437600005585,Primary
51000002,437600007819,Primary
51000003,437600005585,Primary
51000004,437600011170,Primary
51000005,437600002234,Primary
51000006,437600008936,Primary
51000009,437600002234,Primary
51000011,437600002234,Primary
51000014,437600006702,Primary
51000015,437600010053,Primary
51000017,437600003351,Primary
51000018,437600005585,Primary
51000024,437600008936,Primary
51000025,437600002234,Primary
51000026,437600004468,Primary
51000029,437600004468,Primary
51000030,437600004468,Primary
51000031,437600007819,Primary
51000032,437600011170,Primary
51000035,437600005585,Primary
51000037,437600011170,Primary
51000038,437600003351,Primary
51000039,437600007819,Primary
51000040,437600002234,Primary
51000047,437600008936,Primary
51000052,437600010053,Primary
51000054,437600008936,Primary
51000057,437600001117,Primary
51000058,437600004468,Primary
51000062,437600006702,Primary
51000063,437600007819,Primary
51000064,437600001117,Primary
51000066,437600010053,Primary
51000067,437600008936,Primary
51000068,437600010053,Primary
51000070,437600002234,Primary
51000071,437600010053,Primary
51000074,437600006702,Primary
51000077,437600006702,Primary
51000080,437600001117,Primary
51000084,437600006702,Primary
51000086,437600008936,Primary
51000087,437600006702,Primary
51000089,437600004468,Primary
51000090,437600006702,Primary
51000091,437600008936,Primary
51000095,437600011170,Primary
51000096,437600003351,Primary
51000098,437600001117,Primary
51000100,437600002234,Primary
51000101,437600005585,Primary
51000102,437600008936,Primary
51000104,437600006702,Primary
51000105,437600004468,Primary
51000106,437600005585,Primary
51000108,437600003351,Primary
51000110,437600004468,Primary
51000111,437600002234,Primary
51000112,437600005585,Primary
51000113,437600003351,Primary
51000118,437600007819,Primary
51000119,437600005585,Primary
51000123,437600006702,Primary
51000125,437600006702,Primary
51000126,437600003351,Primary
51000128,437600005585,Primary
51000130,437600011170,Primary
51000132,437600001117,Primary
51000134,437600011170,Primary
51000135,437600010053,Primary
51000137,437600003351,Primary
51000141,437600006702,Primary
51000143,437600002234,Primary
51000144,437600002234,Primary
51000149,437600001117,Primary
51000150,437600006702,Primary
51000153,437600002234,Primary
51000154,437600010053,Primary
51000155,437600006702,Primary
51000156,437600006702,Primary
51000159,437600004468,Primary
51000162,437600010053,Primary
51000165,437600007819,Primary
51000167,437600002234,Primary
51000168,437600008936,Primary
51000170,437600006702,Primary
51000173,437600002234,Primary
51000174,437600005585,Primary
51000175,437600007819,Primary
51000180,437600011170,Primary
51000182,437600008936,Primary
51000184,437600011170,Primary
51000185,437600008936,Primary
51000186,437600001117,Primary
51000187,437600002234,Primary
51000188,437600001117,Primary
51000189,437600005585,Primary
51000191,437600010053,Primary
51000192,437600003351,Primary
51000193,437600002234,Primary
51000195,437600008936,Primary
51000196,437600006702,Primary
51000197,437600006702,Primary
51000199,437600001117,Primary
51000200,437600007819,Primary
51000202,437600007819,Primary
51000203,437600010053,Primary
51000204,437600011170,Primary
51000205,437600001117,Primary
51000207,437600011170,Primary
51000208,437600002234,Primary
51000209,437600002234,Primary
51000210,437600011170,Primary
51000212,437600007819,Primary
51000214,437600003351,Primary
51000216,437600004468,Primary
51000217,437600003351,Primary
51000218,437600010053,Primary
51000219,437600011170,Primary
51000220,437600008936,Primary
51000223,437600002234,Primary
51000224,437600007819,Primary
51000226,437600006702,Primary
51000228,437600011170,Primary
51000230,437600003351,Primary
51000231,437600011170,Primary
51000233,437600003351,Primary
51000234,437600003351,Primary
51000241,437600002234,Primary
51000243,437600005585,Primary
51000246,437600003351,Primary
51000247,437600001117,Primary
51000249,437600003351,Primary
51000250,437600004468,Primary
51000251,437600010053,Primary
51000252,437600007819,Primary
51000256,437600006702,Primary
51000257,437600011170,Primary
51000258,437600004468,Primary
51000259,437600001117,Primary
51000261,437600007819,Primary
51000262,437600002234,Primary
51000263,437600003351,Primary
51000265,437600002234,Primary
51000266,437600008936,Primary
51000267,437600003351,Primary
51000269,437600003351,Primary
51000271,437600002234,Primary
51000273,437600011170,Primary
51000274,437600002234,Primary
51000278,437600011170,Primary
51000279,437600011170,Primary
51000280,437600003351,Primary
51000281,437600005585,Primary
51000286,437600004468,Primary
51000288,437600011170,Primary
51000291,437600002234,Primary
51000293,437600011170,Primary
51000294,437600010053,Primary
51000296,437600007819,Primary
51000298,437600001117,Primary
51000299,437600011170,Primary
51000300,437600011170,Primary
51000301,437600004468,Primary
51000303,437600004468,Primary
51000306,437600003351,Primary
51000307,437600007819,Primary
51000308,437600006702,Primary
51000309,437600002234,Primary
51000310,437600006702,Primary
51000311,437600003351,Primary
51000313,437600003351,Primary
51000314,437600008936,Primary
51000321,437600003351,Primary
51000322,437600007819,Primary
51000323,437600006702,Primary
51000324,437600001117,Primary
51000325,437600005585,Primary
51000326,437600004468,Primary
51000329,437600010053,Primary
51000332,437600008936,Primary
51000335,437600008936,Primary
51000339,437600002234,Primary
51000341,437600004468,Primary
51000342,437600007819,Primary
51000343,437600004468,Primary
51000344,437600003351,Primary
51000346,437600003351,Primary
51000347,437600007819,Primary
51000348,437600010053,Primary
51000351,437600011170,Primary
51000353,437600006702,Primary
51000354,437600001117,Primary
51000355,437600007819,Primary
51000356,437600003351,Primary
51000357,437600010053,Primary
51000358,437600008936,Primary
51000359,437600001117,Primary
51000361,437600008936,Primary
51000362,437600008936,Primary
51000365,437600005585,Primary
51000366,437600001117,Primary
51000369,437600008936,Primary
51000370,437600011170,Primary
51000372,437600011170,Primary
51000375,437600005585,Primary
51000376,437600008936,Primary
51000378,437600002234,Primary
51000380,437600001117,Primary
51000381,437600008936,Primary
51000382,437600003351,Primary
51000383,437600006702,Primary
51000384,437600003351,Primary
51000386,437600007819,Primary
51000389,437600010053,Primary
51000390,437600001117,Primary
51000391,437600006702,Primary
51000393,437600004468,Primary
51000394,437600005585,Primary
51000395,437600011170,Primary
51000396,437600004468,Primary
51000399,437600011170,Primary
51000400,437600010053,Primary
51000401,437600003351,Primary
51000405,437600008936,Primary
51000406,437600005585,Primary
51000408,437600005585,Primary
51000412,437600001117,Primary
51000414,437600001117,Primary
51000418,437600003351,Primary
51000419,437600011170,Primary
51000421,437600002234,Primary
51000425,437600006702,Primary
51000429,437600008936,Primary
51000430,437600011170,Primary
51000435,437600004468,Primary
51000436,437600003351,Primary
51000441,437600003351,Primary
51000442,437600011170,Primary
51000443,437600010053,Primary
51000444,437600007819,Primary
51000445,437600003351,Primary
51000449,437600001117,Primary
51000450,437600004468,Primary
51000451,437600008936,Primary
51000456,437600008936,Primary
51000457,437600004468,Primary
51000458,437600004468,Primary
51000460,437600001117,Primary
51000461,437600010053,Primary
51000463,437600002234,Primary
51000465,437600010053,Primary
51000466,437600004468,Primary
51000467,437600010053,Primary
51000468,437600008936,Primary
51000469,437600003351,Primary
51000470,437600005585,Primary
51000471,437600008936,Primary
51000472,437600001117,Primary
51000473,437600002234,Primary
51000474,437600006702,Primary
51000476,437600003351,Primary
51000477,437600002234,Primary
51000482,437600002234,Primary
51000486,437600004468,Primary
51000490,437600011170,Primary
51000491,437600002234,Primary
51000494,437600002234,Primary
51000495,437600007819,Primary
51000498,437600008936,Primary
51000499,437600008936,Primary
51000500,437600010053,Primary
51000502,437600001117,Primary
51000503,437600001117,Primary
51000504,437600004468,Primary
51000507,437600008936,Primary
51000511,437600006702,Primary
51000512,437600004468,Primary
51000515,437600008936,Primary
51000519,437600011170,Primary
51000520,437600008936,Primary
51000525,437600006702,Primary
51000528,437600006702,Primary
51000530,437600005585,Primary
51000532,437600011170,Primary
51000533,437600011170,Primary
51000534,437600004468,Primary
51000536,437600007819,Primary
51000540,437600001117,Primary
51000541,437600004468,Primary
51000542,437600005585,Primary
51000546,437600002234,Primary
51000547,437600002234,Primary
51000548,437600004468,Primary
51000549,437600007819,Primary
51000550,437600008936,Primary
51000552,437600006702,Primary
51000553,437600007819,Primary
51000557,437600005585,Primary
51000560,437600010053,Primary
51000561,437600011170,Primary
51000562,437600003351,Primary
51000565,437600008936,Primary
51000568,437600008936,Primary
51000569,437600003351,Primary
51000572,437600011170,Primary
51000573,437600008936,Primary
51000576,437600002234,Primary
51000578,437600005585,Primary
51000579,437600010053,Primary
51000580,437600003351,Primary
51000582,437600010053,Primary
51000583,437600008936,Primary
51000584,437600006702,Primary
51000585,437600006702,Primary
51000588,437600006702,Primary
51000589,437600007819,Primary
51000593,437600004468,Primary
51000595,437600003351,Primary
51000601,437600003351,Primary
51000602,437600003351,Primary
51000604,437600001117,Primary
51000605,437600002234,Primary
51000606,437600008936,Primary
51000607,437600005585,Primary
51000608,437600011170,Primary
51000611,437600007819,Primary
51000613,437600005585,Primary
51000614,437600007819,Primary
51000616,437600003351,Primary
51000617,437600010053,Primary
51000618,437600010053,Primary
51000620,437600006702,Primary
51000627,437600003351,Primary
51000631,437600010053,Primary
51000633,437600004468,Primary
51000634,437600003351,Primary
51000635,437600005585,Primary
51000637,437600006702,Primary
51000638,437600011170,Primary
51000639,437600004468,Primary
51000641,437600008936,Primary
51000644,437600006702,Primary
51000647,437600003351,Primary
51000648,437600003351,Primary
51000650,437600011170,Primary
51000655,437600004468,Primary
51000656,437600002234,Primary
51000657,437600011170,Primary
51000658,437600006702,Primary
51000659,437600007819,Primary
51000661,437600003351,Primary
51000665,437600010053,Primary
51000668,437600010053,Primary
51000672,437600010053,Primary
51000673,437600001117,Primary
51000674,437600002234,Primary
51000676,437600007819,Primary
51000677,437600004468,Primary
51000678,437600005585,Primary
51000679,437600004468,Primary
51000680,437600006702,Primary
51000682,437600003351,Primary
51000684,437600003351,Primary
51000687,437600011170,Primary
51000688,437600007819,Primary
